id,name,segment,state,city
CG-12520,Claire Gute,Consumer,Kentucky,Henderson
DV-13045,Darrin Van Huff,Corporate,California,Los Angeles
SO-20335,Sean O'Donnell,Consumer,Florida,Fort Lauderdale
BH-11710,Brosina Hoffman,Consumer,California,Los Angeles
AA-10480,Andrew Allen,Consumer,North Carolina,Concord
IM-15070,Irene Maddox,Consumer,Washington,Seattle
HP-14815,Harold Pawlan,Home Office,Texas,Fort Worth
PK-19075,Pete Kriz,Consumer,Wisconsin,Madison
AG-10270,Alejandro Grove,Consumer,Utah,West Jordan
ZD-21925,Zuschuss Donatelli,Consumer,California,San Francisco
KB-16585,Ken Black,Corporate,Nebraska,Fremont
SF-20065,Sandra Flanagan,Consumer,Pennsylvania,Philadelphia
EB-13870,Emily Burns,Consumer,Utah,Orem
EH-13945,Eric Hoffmann,Consumer,California,Los Angeles
TB-21520,Tracy Blumstein,Consumer,Pennsylvania,Philadelphia
MA-17560,Matt Abelman,Home Office,Texas,Houston
GH-14485,Gene Hale,Corporate,Texas,Richardson
SN-20710,Steve Nguyen,Home Office,Texas,Houston
LC-16930,Linda Cazamias,Corporate,Illinois,Naperville
RA-19885,Ruben Ausman,Corporate,California,Los Angeles
ES-14080,Erin Smith,Corporate,Florida,Melbourne
ON-18715,Odella Nelson,Corporate,Minnesota,Eagan
PO-18865,Patrick O'Donnell,Consumer,Michigan,Westland
LH-16900,Lena Hernandez,Consumer,Delaware,Dover
DP-13000,Darren Powers,Consumer,Indiana,New Albany
JM-15265,Janet Molinari,Corporate,New York,New York City
TB-21055,Ted Butterfield,Consumer,New York,Troy
KM-16720,Kunst Miller,Consumer,California,Los Angeles
PS-18970,Paul Stevenson,Home Office,Illinois,Chicago
BS-11590,Brendan Sweed,Corporate,Arizona,Gilbert
KD-16270,Karen Daniels,Consumer,Virginia,Springfield
HM-14980,Henry MacAllister,Consumer,New York,New York City
JE-15745,Joel Eaton,Consumer,Tennessee,Memphis
KB-16600,Ken Brennan,Corporate,Texas,Houston
SC-20770,Stewart Carmichael,Corporate,Alabama,Decatur
DN-13690,Duane Noonan,Consumer,California,San Francisco
JC-16105,Julie Creighton,Corporate,North Carolina,Durham
CS-12400,Christopher Schild,Home Office,Illinois,Chicago
PG-18895,Paul Gonzalez,Consumer,Minnesota,Rochester
GM-14455,Gary Mitchum,Home Office,Texas,Houston
JS-15685,Jim Sink,Corporate,California,Los Angeles
KB-16315,Karl Braun,Consumer,Minnesota,Minneapolis
RB-19705,Roger Barcio,Home Office,Oregon,Portland
PN-18775,Parhena Norris,Home Office,New York,New York City
KD-16345,Katherine Ducich,Consumer,California,San Francisco
ER-13855,Elpida Rittenbach,Corporate,Minnesota,Saint Paul
RB-19465,Rick Bensley,Home Office,Illinois,Chicago
GZ-14470,Gary Zandusky,Consumer,Minnesota,Rochester
LC-16870,Lena Cacioppo,Consumer,Colorado,Aurora
JM-15250,Janet Martin,Consumer,North Carolina,Charlotte
PA-19060,Pete Armstrong,Home Office,Illinois,Orland Park
CV-12805,Cynthia Voltz,Corporate,New York,New York City
CL-12565,Clay Ludtke,Consumer,Iowa,Urbandale
RC-19960,Ryan Crowe,Consumer,Ohio,Columbus
DK-13090,Dave Kipp,Consumer,Washington,Seattle
GG-14650,Greg Guthrie,Corporate,Tennessee,Bristol
SC-20725,Steven Cartwright,Consumer,Delaware,Wilmington
AD-10180,Alan Dominguez,Home Office,Texas,Houston
PF-19165,Philip Fox,Consumer,Illinois,Bloomington
TS-21610,Troy Staebel,Consumer,Arizona,Phoenix
LS-16975,Lindsay Shagiari,Home Office,California,Los Angeles
DW-13585,Dorothy Wardle,Corporate,Ohio,Columbus
LC-16885,Lena Creighton,Consumer,California,Roseville
JD-15895,Jonathan Doherty,Corporate,Pennsylvania,Philadelphia
SH-19975,Sally Hughsby,Corporate,California,San Francisco
SG-20080,Sandra Glassco,Consumer,Missouri,Independence
HA-14920,Helen Andreada,Consumer,California,Pasadena
MG-17680,Maureen Gastineau,Home Office,Ohio,Newark
JE-16165,Justin Ellison,Corporate,Wisconsin,Franklin
TW-21025,Tamara Willingham,Home Office,Arizona,Scottsdale
SP-20650,Stephanie Phelps,Corporate,California,San Jose
NK-18490,Neil Knudson,Home Office,Washington,Seattle
DB-13060,Dave Brooks,Consumer,Washington,Seattle
NP-18670,Nora Paige,Consumer,Oklahoma,Edmond
TT-21070,Ted Trevino,Consumer,California,Los Angeles
EM-13960,Eric Murdock,Consumer,Pennsylvania,Philadelphia
RD-19900,Ruben Dartt,Consumer,New Mexico,Carlsbad
MJ-17740,Max Jones,Consumer,Washington,Seattle
BM-11140,Becky Martin,Consumer,Texas,San Antonio
CS-12130,Chad Sievert,Consumer,California,Los Angeles
JB-15400,Jennifer Braxton,Corporate,Illinois,Chicago
SJ-20500,Shirley Jackson,Consumer,Texas,Houston
JK-15640,Jim Kriz,Home Office,New York,New York City
DK-13150,David Kendrick,Corporate,Illinois,Decatur
RM-19675,Robert Marley,Home Office,Louisiana,Monroe
SK-19990,Sally Knutson,Consumer,Connecticut,Fairfield
FM-14290,Frank Merwin,Home Office,California,Los Angeles
AM-10360,Alice McCarthy,Corporate,Texas,Grand Prairie
MP-17470,Mark Packer,Home Office,New York,New York City
MZ-17515,Mary Zewe,Corporate,California,Redlands
CB-12025,Cassandra Brandow,Consumer,Ohio,Hamilton
VM-21685,Valerie Mitchum,Home Office,New Jersey,Westfield
FH-14365,Fred Hopkins,Corporate,Pennsylvania,Philadelphia
MB-17305,Maria Bertelson,Consumer,Ohio,Akron
BS-11755,Bruce Stewart,Consumer,Colorado,Denver
LC-17140,Logan Currie,Consumer,Texas,Dallas
HK-14890,Heather Kirkland,Corporate,Tennessee,Franklin
LE-16810,Laurel Elliston,Consumer,California,Whittier
JH-15985,Joseph Holt,Consumer,Michigan,Saginaw
MS-17980,Michael Stewart,Corporate,Texas,Dallas
VW-21775,Victoria Wilson,Corporate,Ohio,Medina
JH-15910,Jonathan Howell,Consumer,California,Los Angeles
JB-15925,Joni Blumstein,Consumer,Ohio,Dublin
DS-13180,David Smith,Corporate,Michigan,Detroit
VD-21670,Valerie Dominguez,Consumer,Tennessee,Columbia
EA-14035,Erin Ashbrook,Corporate,North Carolina,Charlotte
DB-13120,David Bremer,Corporate,California,Santa Clara
KL-16645,Ken Lonsdale,Consumer,Illinois,Chicago
DW-13480,Dianna Wilson,Home Office,Minnesota,Lakeville
LH-17155,Logan Haushalter,Consumer,California,San Francisco
KC-16540,Kelly Collister,Consumer,California,San Diego
DL-13315,Delfina Latchford,Consumer,New York,New York City
DR-12880,Dan Reichenbach,Corporate,Illinois,Chicago
CC-12670,Craig Carreira,Consumer,New York,New York City
Dl-13600,Dorris liebe,Corporate,Texas,Pasadena
SB-20290,Sean Braxton,Corporate,Texas,Houston
RC-19825,Roy Collins,Consumer,Illinois,Chicago
AH-10210,Alan Hwang,Consumer,California,Brentwood
CB-12535,Claudia Bergmann,Corporate,North Carolina,Chapel Hill
CA-12310,Christine Abelman,Corporate,Ohio,Cincinnati
KH-16690,Kristen Hastings,Corporate,California,San Francisco
BB-10990,Barry Blumstein,Corporate,California,Inglewood
AG-10495,Andrew Gjertsen,Corporate,Pennsylvania,Philadelphia
JO-15280,Jas O'Carroll,Consumer,California,Los Angeles
AH-10195,Alan Haines,Corporate,Florida,Tamarac
NZ-18565,Nick Zandusky,Home Office,Ohio,Columbus
KL-16555,Kelly Lampkin,Corporate,Colorado,Colorado Springs
AS-10225,Alan Schoenberger,Corporate,New York,New York City
CR-12625,Corey Roper,Home Office,New Jersey,Lakewood
SH-20395,Shahid Hopkins,Consumer,Virginia,Arlington
BP-11185,Ben Peterman,Corporate,Colorado,Arvada
TS-21205,Thomas Seio,Corporate,New Jersey,Hackensack
AG-10525,Andy Gerbode,Corporate,Florida,Saint Petersburg
SP-20860,Sung Pak,Corporate,Pennsylvania,Philadelphia
NM-18445,Nathan Mautz,Home Office,New York,New York City
FA-14230,Frank Atkinson,Corporate,California,Long Beach
GK-14620,Grace Kelly,Corporate,California,Hesperia
DJ-13510,Don Jones,Corporate,Tennessee,Murfreesboro
PO-18850,Patrick O'Brill,Consumer,Pennsylvania,Philadelphia
JL-15850,John Lucas,Consumer,Pennsylvania,Philadelphia
DB-13615,Doug Bickford,Consumer,California,Los Angeles
AC-10420,Alyssa Crouse,Corporate,California,San Francisco
CC-12550,Clay Cheatham,Consumer,California,San Francisco
TD-20995,Tamara Dahlen,Consumer,Massachusetts,Lowell
AB-10060,Adam Bellavance,Home Office,New York,New York City
JL-15505,Jeremy Lonsdale,Consumer,New York,New York City
VB-21745,Victoria Brennan,Corporate,Georgia,Columbus
KW-16435,Katrina Willman,Consumer,New York,New York City
JD-16060,Julia Dunbar,Consumer,California,San Francisco
MK-17905,Michael Kennedy,Corporate,Connecticut,Manchester
GT-14755,Guy Thornton,Consumer,Texas,Harlingen
AG-10900,Arthur Gainer,Consumer,Arizona,Tucson
MM-18280,Muhammed MacIntyre,Corporate,Illinois,Quincy
AR-10405,Allen Rosenblatt,Corporate,Massachusetts,Franklin
RA-19915,Russell Applegate,Consumer,Texas,Houston
AS-10285,Alejandro Savely,Corporate,California,San Francisco
LA-16780,Laura Armstrong,Corporate,Michigan,Taylor
DO-13435,Denny Ordway,Consumer,Florida,Pembroke Pines
DK-13225,Dean Katz,Corporate,Pennsylvania,Philadelphia
NG-18430,Nathan Gelder,Consumer,Ohio,Cincinnati
MV-18190,Mike Vittorini,Consumer,New York,New York City
JG-15115,Jack Garza,Consumer,Washington,Des Moines
BP-11095,Bart Pistole,Corporate,Illinois,Peoria
VP-21730,Victor Preis,Home Office,Nevada,Las Vegas
SS-20140,Saphhira Shifley,Corporate,Rhode Island,Warwick
AG-10675,Anna Gayman,Consumer,Texas,Houston
LF-17185,Luke Foster,Consumer,Florida,Miami
RF-19840,Roy Franzosisch,Consumer,New York,New York City
KH-16510,Keith Herrera,Consumer,California,San Francisco
KC-16675,Kimberly Carter,Corporate,Washington,Seattle
CJ-12010,Caroline Jumper,Consumer,California,Huntington Beach
PB-19150,Philip Brown,Consumer,California,Los Angeles
MP-17965,Michael Paige,Corporate,Massachusetts,Lawrence
NF-18385,Natalie Fritzler,Consumer,Mississippi,Jackson
SD-20485,Shirley Daniels,Home Office,New York,New Rochelle
KH-16630,Ken Heidel,Corporate,Texas,San Antonio
RB-19795,Ross Baird,Home Office,North Carolina,Gastonia
MK-18160,Mike Kennedy,Consumer,Florida,Jacksonville
PO-19180,Philisse Overcash,Home Office,Illinois,Chicago
BB-11545,Brenda Bowman,Corporate,Texas,Houston
TB-21595,Troy Blackwell,Consumer,Indiana,Columbus
RB-19360,Raymond Buch,Consumer,New York,Auburn
EB-13705,Ed Braxton,Corporate,Ohio,Akron
SC-20095,Sanjit Chand,Consumer,California,Concord
TN-21040,Tanja Norvell,Home Office,Arizona,Phoenix
JS-15940,Joni Sundaresam,Home Office,Illinois,Park Ridge
MH-17785,Maya Herman,Corporate,New York,Lindenhurst
JP-15520,Jeremy Pistek,Consumer,California,San Francisco
JE-15475,Jeremy Ellison,Consumer,New York,Troy
JG-15805,John Grady,Corporate,New York,New York City
XP-21865,Xylona Preis,Consumer,California,San Diego
EM-14065,Erin Mull,Consumer,New York,New York City
MT-18070,Michelle Tran,Home Office,California,Los Angeles
SA-20830,Sue Ann Reed,Consumer,Illinois,Chicago
CW-11905,Carl Weiss,Home Office,Texas,Huntsville
AJ-10960,Astrea Jones,Consumer,New York,Rochester
SS-20590,Sonia Sunley,Consumer,Washington,Seattle
RO-19780,Rose O'Brian,Consumer,Tennessee,Memphis
MD-17350,Maribeth Dona,Consumer,Arkansas,Fayetteville
MY-17380,Maribeth Yedwab,Corporate,Colorado,Parker
CM-12385,Christopher Martinez,Consumer,Georgia,Atlanta
LS-17245,Lynn Smith,Consumer,Missouri,Gladstone
BN-11515,Bradley Nguyen,Consumer,California,Los Angeles
DB-13210,Dean Braden,Consumer,Texas,Houston
MC-17605,Matt Connell,Corporate,Michigan,Detroit
BD-11605,Brian Dahlen,Consumer,Massachusetts,Lawrence
PH-18790,Patricia Hirasaki,Home Office,Florida,Lakeland
MG-18145,Mike Gockenbach,Consumer,Pennsylvania,Philadelphia
KB-16240,Karen Bern,Corporate,California,Los Angeles
JC-15340,Jasper Cacioppo,Consumer,California,Los Angeles
